Iterasi,Jaringan,Format,Rendering,LCP,TBT,CLS,Payload
1,Broadband,Lottie,SSR,1543.10,0.00,0.000,1092.32
1,Broadband,Lottie,CSR,721.70,0.00,0.000,1092.38
1,Broadband,SVG,SSR,551.61,0.00,0.000,219.10
1,Broadband,SVG,CSR,1238.68,0.00,0.000,218.28
1,Broadband,GIF,SSR,2459.74,0.00,0.000,273.40
1,Broadband,GIF,CSR,1455.83,0.00,0.000,274.95
1,Fast 4G,Lottie,SSR,2474.41,16.68,0.000,1092.25
1,Fast 4G,Lottie,CSR,2253.87,0.00,0.000,1092.45
1,Fast 4G,SVG,SSR,2445.14,0.00,0.000,219.13
1,Fast 4G,SVG,CSR,2255.99,0.00,0.000,218.35
1,Fast 4G,GIF,SSR,2480.51,0.00,0.000,273.41
1,Fast 4G,GIF,CSR,2267.70,0.00,0.000,274.95
1,Slow 4G,Lottie,SSR,2510.63,146.09,0.000,1092.42
1,Slow 4G,Lottie,CSR,3529.21,107.14,0.000,1092.53
1,Slow 4G,SVG,SSR,1507.22,114.69,0.000,219.17
1,Slow 4G,SVG,CSR,1488.02,82.48,0.000,218.36
1,Slow 4G,GIF,SSR,5774.86,106.41,0.000,273.48
1,Slow 4G,GIF,CSR,7090.32,84.30,0.000,275.00
2,Broadband,Lottie,SSR,1427.11,0.00,0.000,1092.17
2,Broadband,Lottie,CSR,253.66,0.00,0.000,1092.44
2,Broadband,SVG,SSR,385.24,0.00,0.000,219.15
2,Broadband,SVG,CSR,225.95,0.00,0.000,218.30
2,Broadband,GIF,SSR,2417.85,0.00,0.000,273.41
2,Broadband,GIF,CSR,329.17,0.00,0.000,274.92
2,Fast 4G,Lottie,SSR,2427.01,78.95,0.000,1092.17
2,Fast 4G,Lottie,CSR,2274.17,223.34,0.000,1092.47
2,Fast 4G,SVG,SSR,2428.48,0.00,0.000,219.16
2,Fast 4G,SVG,CSR,641.87,102.70,0.000,218.26
2,Fast 4G,GIF,SSR,2421.66,0.00,0.000,273.47
2,Fast 4G,GIF,CSR,2267.72,0.00,0.000,274.92
2,Slow 4G,Lottie,SSR,3539.69,708.31,0.000,1092.48
2,Slow 4G,Lottie,CSR,1635.96,216.48,0.000,1092.58
2,Slow 4G,SVG,SSR,1635.77,269.63,0.000,219.19
2,Slow 4G,SVG,CSR,1605.72,326.25,0.000,218.36
2,Slow 4G,GIF,SSR,5772.42,261.69,0.000,273.50
2,Slow 4G,GIF,CSR,7257.42,250.31,0.000,275.00
3,Broadband,Lottie,SSR,2412.86,0.00,0.000,1092.20
3,Broadband,Lottie,CSR,2198.88,0.00,0.000,1092.42
3,Broadband,SVG,SSR,1473.78,0.00,0.000,219.15
3,Broadband,SVG,CSR,1231.13,0.00,0.000,218.17
3,Broadband,GIF,SSR,517.59,0.00,0.000,273.47
3,Broadband,GIF,CSR,2236.21,0.00,0.000,274.83
3,Fast 4G,Lottie,SSR,2443.78,120.68,0.000,1092.24
3,Fast 4G,Lottie,CSR,2272.08,110.32,0.000,1092.47
